application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
Customer Portal,Spring Boot,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,React,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Express,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,FastAPI,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Kafka Client,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,PostgreSQL JDBC,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,MySQL Connector,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Redis Client,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Netty,2.17.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Hibernate,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Jetty,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,OkHttp,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,BouncyCastle,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,JUnit5,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Commons IO,1.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,OpenSSL,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,OkHttp,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Tomcat,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
