application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
CustomerPortal,micrometer-core,3.0.10,2025-01-30,528,17.3,1.45,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,sqlalchemy,5.13.5,2022-03-18,1577,51.8,4.32,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,netty-all,2.7.4,2025-05-01,437,14.4,1.2,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,json-iterator,2.3.2,2024-12-30,559,18.4,1.53,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,log4j-api,5.1.3,2025-07-11,366,12.0,1.0,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,commons-collections4,4.7.1,2021-03-31,1929,63.4,5.28,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,commons-codec,4.11.10,2024-08-16,695,22.8,1.9,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,gson,1.6.10,2024-10-04,646,21.2,1.77,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,lombok,4.1.2,2023-10-31,985,32.4,2.7,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,werkzeug,1.7.10,2022-02-23,1600,52.6,4.38,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,jackson-annotations,5.0.6,2026-01-01,192,6.3,0.53,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,resilience4j,1.8.0,2024-11-11,608,20.0,1.66,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,slf4j-api,2.8.8,2025-07-03,374,12.3,1.02,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,go-jwt,5.10.5,2026-01-03,190,6.2,0.52,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,spring-security-core,1.2.0,2026-02-19,143,4.7,0.39,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,snakeyaml,3.1.0,2025-06-09,398,13.1,1.09,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,opentelemetry-api,4.10.2,2025-01-15,543,17.8,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,logback-core,3.4.2,2026-01-03,190,6.2,0.52,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,pyyaml,5.7.10,2021-12-11,1674,55.0,4.58,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,jackson-databind,1.1.6,2025-06-23,384,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,caffeine,2.5.7,2024-09-16,664,21.8,1.82,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,log4j-core,2.2.8,2024-07-02,740,24.3,2.03,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,grpc-core,2.1.1,2025-12-06,218,7.2,0.6,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,jedis,3.9.3,2025-06-05,402,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,jetty-server,2.3.0,2025-04-12,456,15.0,1.25,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,commons-lang3,4.11.2,2025-12-30,194,6.4,0.53,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,mockito-core,1.2.10,2024-08-02,709,23.3,1.94,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,junit-jupiter,4.1.8,2024-03-30,834,27.4,2.28,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,hibernate-validator,1.13.1,2023-05-03,1166,38.3,3.19,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,guava,1.2.6,2024-06-13,759,24.9,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,h2-database,5.3.1,2025-07-26,351,11.5,0.96,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,mapstruct,4.15.0,2024-07-10,732,24.0,2.0,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,kafka-clients,4.8.5,2025-10-17,268,8.8,0.73,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,mysql-connector-java,4.2.3,2025-06-18,389,12.8,1.07,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,sarama,5.0.2,2020-04-13,2281,74.9,6.25,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
CustomerPortal,tomcat-embed-core,2.7.8,2024-09-01,679,22.3,1.86,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,fabric,3.0.6,2025-01-13,545,17.9,1.49,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,commons-io,2.4.6,2025-09-29,286,9.4,0.78,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,spring-core,2.9.0,2026-03-21,113,3.7,0.31,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,assertj-core,3.6.6,2025-11-16,238,7.8,0.65,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,jackson-core,4.9.1,2025-06-19,388,12.7,1.06,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,hibernate-core,3.4.1,2025-03-11,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,disruptor,2.2.8,2026-02-05,157,5.2,0.43,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,spring-web,2.11.0,2025-07-20,357,11.7,0.98,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,logback-classic,4.11.0,2024-01-27,897,29.5,2.46,Outdated,High,Prioritize an upgrade or identify a supported replacement.
CustomerPortal,eslint,2.10.8,2025-04-04,464,15.2,1.27,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,aws-sdk-s3,2.4.1,2024-12-05,584,19.2,1.6,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,crypto-go,3.10.1,2025-05-06,432,14.2,1.18,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
CustomerPortal,httpcore,3.4.4,2026-01-19,174,5.7,0.48,Actively Maintained,Low,Continue monitoring releases and security advisories.
CustomerPortal,netty-handler,1.7.3,2025-07-29,348,11.4,0.95,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,caffeine,4.4.5,2025-07-19,358,11.8,0.98,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,aws-sdk-s3,2.0.9,2023-08-04,1073,35.3,2.94,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,resilience4j,5.1.10,2025-06-25,382,12.6,1.05,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,snakeyaml,3.15.2,2026-04-10,93,3.1,0.25,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,vue,3.3.1,2024-12-24,565,18.6,1.55,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,httpcore,5.15.3,2024-09-22,658,21.6,1.8,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,logback-core,4.9.4,2025-06-04,403,13.2,1.1,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,grpc-core,3.11.7,2024-12-05,584,19.2,1.6,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,httpclient,4.14.4,2024-11-18,601,19.7,1.65,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
PaymentService,guava,1.5.1,2026-02-16,146,4.8,0.4,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,aws-sdk-sqs,2.15.7,2024-06-13,759,24.9,2.08,Outdated,High,Prioritize an upgrade or identify a supported replacement.
PaymentService,redis-py,4.11.10,2026-02-18,144,4.7,0.39,Actively Maintained,Low,Continue monitoring releases and security advisories.
PaymentService,jedis,2.15.7,2025-03-12,487,16.0,1.33,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
