application,dependency_id,library,version,dependency_type,cve_id,cvss,severity,patch_available,exploitability,description,fixed_version,affected_version_range
CustomerPortal,DEP-0003,netty-all,2.7.4,Direct,CVE-2024-1163,6.8,MEDIUM,True,NONE,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"4.3.0,2.8.0"
CustomerPortal,DEP-0004,json-iterator,2.3.2,Direct,CVE-2025-1082,3.4,LOW,True,HIGH,Command injection through unsanitized shell arguments,4.3.0,"4.0.0,4.2.0"
CustomerPortal,DEP-0009,lombok,4.1.2,Direct,CVE-2023-1002,9.9,CRITICAL,True,MEDIUM,Open redirect vulnerability in URL handling,4.10.0,"4.6.0,4.7.0"
CustomerPortal,DEP-0011,jackson-annotations,5.0.6,Direct,CVE-2023-1017,8.0,HIGH,True,HIGH,Denial of service through recursive parsing of nested structures,5.5.0,"5.0.0,5.3.0"
CustomerPortal,DEP-0015,spring-security-core,1.2.0,Direct,CVE-2024-1104,3.3,LOW,True,LOW,Denial of service through recursive parsing of nested structures,3.4.0,"3.2.0,3.4.0"
CustomerPortal,DEP-0016,snakeyaml,3.1.0,Direct,CVE-2024-1013,8.4,HIGH,True,LOW,Open redirect vulnerability in URL handling,4.4.0,"4.2.0,4.3.0"
CustomerPortal,DEP-0019,pyyaml,5.7.10,Direct,CVE-2026-1067,6.3,MEDIUM,False,LOW,Regular expression denial of service (ReDoS),,"5.7.0,5.8.0"
CustomerPortal,DEP-0019,pyyaml,5.7.10,Direct,CVE-2022-1069,9.3,CRITICAL,True,LOW,XML external entity (XXE) injection in parser,5.10.0,"5.5.0,5.7.0"
CustomerPortal,DEP-0020,jackson-databind,1.1.6,Direct,CVE-2024-1117,5.6,MEDIUM,True,LOW,Integer overflow leading to heap corruption,5.0.0,"3.3.0,4.10.0"
CustomerPortal,DEP-0021,caffeine,2.5.7,Direct,CVE-2026-1084,1.3,LOW,True,LOW,Insecure random number generation for cryptographic operations,3.6.0,"3.5.0,3.6.0"
CustomerPortal,DEP-0021,caffeine,2.5.7,Direct,CVE-2022-1085,5.5,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,4.7.0,"4.5.0,4.8.0"
CustomerPortal,DEP-0024,jedis,3.9.3,Direct,CVE-2024-1178,1.0,LOW,True,MEDIUM,Denial of service through recursive parsing of nested structures,5.0.0,"3.5.0,2.10.0"
CustomerPortal,DEP-0024,jedis,3.9.3,Direct,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
CustomerPortal,DEP-0027,mockito-core,1.2.10,Direct,CVE-2023-1188,4.6,MEDIUM,True,MEDIUM,Regular expression denial of service (ReDoS),4.0.0,"3.1.0,3.6.0"
CustomerPortal,DEP-0029,hibernate-validator,1.13.1,Direct,CVE-2024-1060,9.7,CRITICAL,True,MEDIUM,Server-side request forgery (SSRF) via URL parameter,2.8.0,"2.7.0,2.10.0"
CustomerPortal,DEP-0029,hibernate-validator,1.13.1,Direct,CVE-2021-1062,1.3,LOW,True,LOW,Buffer overflow in native binding,4.9.0,"4.8.0,4.9.0"
