application,dependency_id,library,version,vulnerability_score,license_score,maintenance_score,dependency_depth_score,final_risk_score,final_risk_level,explanation
Customer Portal,APP001_D01,Spring Boot,1.0.0,84.0,0.0,0.0,25.0,40.3,Medium,Highest matched CVSS is 8.4; vulnerability severity score is 84.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D02,React,3.2.1,87.0,100.0,0.0,25.0,66.65,High,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D03,Express,2.14.1,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D04,FastAPI,3.0.0,86.0,100.0,0.0,25.0,66.2,High,Highest matched CVSS is 8.6; vulnerability severity score is 86.0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D05,Kafka Client,1.5.0,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D06,PostgreSQL JDBC,2.0.0,82.0,100.0,0.0,25.0,64.4,High,Highest matched CVSS is 8.2; vulnerability severity score is 82.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D07,MySQL Connector,3.2.1,89.0,0.0,0.0,25.0,42.55,Medium,Highest matched CVSS is 8.9; vulnerability severity score is 89.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D08,Redis Client,2.14.1,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D09,Netty,2.17.1,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_D10,Hibernate,1.5.0,0.0,100.0,0.0,25.0,27.5,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Customer Portal,APP001_T01,Jetty,2.17.1,73.0,100.0,100.0,50.0,82.85,Critical,Highest matched CVSS is 7.3; vulnerability severity score is 73.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T02,OkHttp,3.2.1,48.0,75.0,40.0,50.0,53.35,High,Highest matched CVSS is 4.8; vulnerability severity score is 48.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T03,SLF4J,1.0.0,85.0,100.0,100.0,50.0,88.25,Critical,Highest matched CVSS is 8.5; vulnerability severity score is 85.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T04,BouncyCastle,1.5.0,94.0,100.0,40.0,50.0,80.3,Critical,Highest matched CVSS is 9.4; vulnerability severity score is 94.0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T05,Gson,3.0.0,96.0,0.0,40.0,50.0,56.2,High,Highest matched CVSS is 9.6; vulnerability severity score is 96.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T06,Gson,2.0.0,77.0,75.0,40.0,50.0,66.4,High,Highest matched CVSS is 7.7; vulnerability severity score is 77.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T07,JUnit5,3.2.1,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T08,Commons IO,1.0.0,63.0,100.0,100.0,50.0,78.35,Critical,Highest matched CVSS is 6.3; vulnerability severity score is 63.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T09,OpenSSL,3.2.1,0.0,75.0,40.0,50.0,31.75,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T10,OkHttp,2.14.1,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T11,Tomcat,1.0.0,95.0,0.0,40.0,50.0,55.75,High,Highest matched CVSS is 9.5; vulnerability severity score is 95.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T12,Gson,3.2.1,64.0,100.0,40.0,50.0,66.8,High,Highest matched CVSS is 6.4; vulnerability severity score is 64.0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T13,JUnit5,2.14.1,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T14,SLF4J,3.2.1,92.0,100.0,40.0,50.0,79.4,Critical,Highest matched CVSS is 9.2; vulnerability severity score is 92.0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T15,SLF4J,1.5.0,67.0,0.0,100.0,50.0,55.15,High,Highest matched CVSS is 6.7; vulnerability severity score is 67.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T16,Jetty,3.0.0,0.0,0.0,40.0,50.0,13.0,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T17,JUnit5,3.0.0,96.0,0.0,40.0,50.0,56.2,High,Highest matched CVSS is 9.6; vulnerability severity score is 96.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T18,Lodash,3.2.1,49.0,0.0,40.0,50.0,35.05,Medium,Highest matched CVSS is 4.9; vulnerability severity score is 49.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T19,BouncyCastle,2.14.1,59.0,0.0,40.0,50.0,39.55,Medium,Highest matched CVSS is 5.9; vulnerability severity score is 59.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T20,Jetty,3.2.1,61.0,0.0,40.0,50.0,40.45,Medium,Highest matched CVSS is 6.1; vulnerability severity score is 61.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T21,Jackson,3.2.1,53.0,0.0,40.0,50.0,36.85,Medium,Highest matched CVSS is 5.3; vulnerability severity score is 53.0. License status is Compatible; license score is 0. BSD-3-Clause is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T22,SLF4J,2.17.1,51.0,75.0,100.0,50.0,66.7,High,Highest matched CVSS is 5.1; vulnerability severity score is 51.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T23,Jackson,3.0.0,65.0,0.0,40.0,50.0,42.25,Medium,Highest matched CVSS is 6.5; vulnerability severity score is 65.0. License status is Compatible; license score is 0. Unlicense is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T24,Log4j,1.5.0,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T25,Log4j,2.17.1,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T26,Gson,3.0.0,96.0,0.0,40.0,50.0,56.2,High,Highest matched CVSS is 9.6; vulnerability severity score is 96.0. License status is Compatible; license score is 0. Proprietary is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T27,SnakeYAML,1.0.0,88.0,0.0,40.0,50.0,52.6,High,Highest matched CVSS is 8.8; vulnerability severity score is 88.0. License status is Compatible; license score is 0. Apache-2.0 is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T28,Log4j,2.17.1,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T29,SLF4J,2.14.1,0.0,100.0,100.0,50.0,50.0,High,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T30,SLF4J,3.2.1,92.0,100.0,40.0,50.0,79.4,Critical,Highest matched CVSS is 9.2; vulnerability severity score is 92.0. License status is Incompatible; license score is 100. EPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T31,Jackson,1.0.0,87.0,0.0,40.0,50.0,52.15,High,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T32,Log4j,2.14.1,100.0,100.0,40.0,50.0,83.0,Critical,Highest matched CVSS is 10.0; vulnerability severity score is 100.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T33,Guava,3.0.0,61.0,75.0,40.0,50.0,59.2,High,Highest matched CVSS is 6.1; vulnerability severity score is 61.0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T34,BouncyCastle,1.5.0,94.0,100.0,40.0,50.0,80.3,Critical,Highest matched CVSS is 9.4; vulnerability severity score is 94.0. License status is Incompatible; license score is 100. GPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T35,Jetty,1.5.0,0.0,100.0,40.0,50.0,38.0,Medium,No matched vulnerabilities; vulnerability severity score is 0. License status is Incompatible; license score is 100. GPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T36,SLF4J,1.0.0,85.0,100.0,100.0,50.0,88.25,Critical,Highest matched CVSS is 8.5; vulnerability severity score is 85.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Unmaintained; maintenance score is 100. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T37,OpenSSL,3.0.0,83.0,100.0,40.0,50.0,75.35,Critical,Highest matched CVSS is 8.3; vulnerability severity score is 83.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T38,Jackson,1.0.0,87.0,0.0,40.0,50.0,52.15,High,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T39,Tomcat,3.0.0,57.0,100.0,40.0,50.0,63.65,High,Highest matched CVSS is 5.7; vulnerability severity score is 57.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Customer Portal,APP001_T40,Gson,1.0.0,44.0,100.0,40.0,50.0,57.8,High,Highest matched CVSS is 4.4; vulnerability severity score is 44.0. License status is Incompatible; license score is 100. MPL-2.0 is not compatible with the Proprietary application policy. Maintenance status is Moderately Outdated; maintenance score is 40. Dependency is Transitive; dependency depth score is 50.
Payment Gateway,APP002_D01,Spring Boot,1.5.0,70.0,100.0,0.0,25.0,59.0,High,Highest matched CVSS is 7.0; vulnerability severity score is 70.0. License status is Incompatible; license score is 100. CDDL is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D02,React,2.14.1,0.0,75.0,0.0,25.0,21.25,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Unknown; license score is 75. The dependency license is unknown or has no verified license grant. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D03,Express,2.0.0,0.0,0.0,0.0,25.0,2.5,Low,No matched vulnerabilities; vulnerability severity score is 0. License status is Compatible; license score is 0. ISC is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D04,FastAPI,2.14.1,87.0,0.0,0.0,25.0,41.65,Medium,Highest matched CVSS is 8.7; vulnerability severity score is 87.0. License status is Compatible; license score is 0. MIT is permitted by the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D05,Kafka Client,3.0.0,88.0,100.0,0.0,25.0,67.1,High,Highest matched CVSS is 8.8; vulnerability severity score is 88.0. License status is Incompatible; license score is 100. LGPL-2.1 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
Payment Gateway,APP002_D06,PostgreSQL JDBC,3.0.0,59.0,100.0,0.0,25.0,54.05,High,Highest matched CVSS is 5.9; vulnerability severity score is 59.0. License status is Incompatible; license score is 100. LGPL-3.0 is not compatible with the Proprietary application policy. Maintenance status is Actively Maintained; maintenance score is 0. Dependency is Direct; dependency depth score is 25.
