application,dependency_id,library,version,dependency_type,cve_id,cvss,severity,patch_available,exploitability,description,fixed_version,affected_version_range
Customer Portal,APP001_D01,Spring Boot,1.0.0,Direct,CVE-2025-1078,8.4,Medium,True,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_D01,Spring Boot,1.0.0,Direct,CVE-2025-1132,7.3,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_D02,React,3.2.1,Direct,CVE-2025-1148,8.7,Medium,False,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_D04,FastAPI,3.0.0,Direct,CVE-2025-1127,8.6,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_D04,FastAPI,3.0.0,Direct,CVE-2025-1174,5.5,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_D06,PostgreSQL JDBC,2.0.0,Direct,CVE-2025-1059,8.2,Medium,False,Medium,Synthetic record,latest,2.0.0
Customer Portal,APP001_D06,PostgreSQL JDBC,2.0.0,Direct,CVE-2025-1136,6.0,Medium,False,Medium,Synthetic record,latest,2.0.0
Customer Portal,APP001_D07,MySQL Connector,3.2.1,Direct,CVE-2025-1080,8.9,Medium,True,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T01,Jetty,2.17.1,Transitive,CVE-2025-1011,5.7,Medium,True,Medium,Synthetic record,latest,2.17.1
Customer Portal,APP001_T01,Jetty,2.17.1,Transitive,CVE-2025-1015,7.3,Medium,False,Medium,Synthetic record,latest,2.17.1
Customer Portal,APP001_T02,OkHttp,3.2.1,Transitive,CVE-2025-1020,4.7,Medium,False,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T02,OkHttp,3.2.1,Transitive,CVE-2025-1058,4.8,Medium,False,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T03,SLF4J,1.0.0,Transitive,CVE-2025-1097,5.7,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T03,SLF4J,1.0.0,Transitive,CVE-2025-1187,8.5,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T04,BouncyCastle,1.5.0,Transitive,CVE-2025-1100,9.4,Medium,False,Medium,Synthetic record,latest,1.5.0
Customer Portal,APP001_T04,BouncyCastle,1.5.0,Transitive,CVE-2025-1111,4.8,Medium,True,Medium,Synthetic record,latest,1.5.0
Customer Portal,APP001_T05,Gson,3.0.0,Transitive,CVE-2025-1079,9.3,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T05,Gson,3.0.0,Transitive,CVE-2025-1134,9.6,Medium,True,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T06,Gson,2.0.0,Transitive,CVE-2025-1129,7.7,Medium,True,Medium,Synthetic record,latest,2.0.0
Customer Portal,APP001_T08,Commons IO,1.0.0,Transitive,CVE-2025-1140,6.2,Medium,True,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T08,Commons IO,1.0.0,Transitive,CVE-2025-1161,6.3,Medium,False,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T11,Tomcat,1.0.0,Transitive,CVE-2025-1048,9.5,Medium,True,Medium,Synthetic record,latest,1.0.0
Customer Portal,APP001_T12,Gson,3.2.1,Transitive,CVE-2025-1150,6.4,Medium,True,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T14,SLF4J,3.2.1,Transitive,CVE-2025-1112,9.2,Medium,False,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T15,SLF4J,1.5.0,Transitive,CVE-2025-1013,6.7,Medium,False,Medium,Synthetic record,latest,1.5.0
Customer Portal,APP001_T15,SLF4J,1.5.0,Transitive,CVE-2025-1133,3.4,Medium,False,Medium,Synthetic record,latest,1.5.0
Customer Portal,APP001_T17,JUnit5,3.0.0,Transitive,CVE-2025-1149,8.5,Medium,True,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T17,JUnit5,3.0.0,Transitive,CVE-2025-1160,9.6,Medium,False,Medium,Synthetic record,latest,3.0.0
Customer Portal,APP001_T18,Lodash,3.2.1,Transitive,CVE-2025-1190,4.9,Medium,True,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T19,BouncyCastle,2.14.1,Transitive,CVE-2025-1197,5.9,Medium,True,Medium,Synthetic record,latest,2.14.1
Customer Portal,APP001_T20,Jetty,3.2.1,Transitive,CVE-2025-1027,6.1,Medium,True,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T21,Jackson,3.2.1,Transitive,CVE-2025-1179,5.3,Medium,False,Medium,Synthetic record,latest,3.2.1
Customer Portal,APP001_T22,SLF4J,2.17.1,Transitive,CVE-2025-1186,5.1,Medium,False,Medium,Synthetic record,latest,2.17.1
Customer Portal,APP001_T23,Jackson,3.0.0,Transitive,CVE-2025-1026,5.4,Medium,False,Medium,Synthetic record,latest,3.0.0
