application,library,version,license,compatibility_status,severity,reason,recommendation
CustomerPortal,micrometer-core,3.0.10,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,sqlalchemy,5.13.5,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,netty-all,2.7.4,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,json-iterator,2.3.2,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,log4j-api,5.1.3,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,commons-collections4,4.7.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,commons-codec,4.11.10,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,gson,1.6.10,Dual-MIT/Commercial,Compatible,Low,Dual-MIT/Commercial is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,lombok,4.1.2,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,werkzeug,1.7.10,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,jackson-annotations,5.0.6,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,resilience4j,1.8.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,slf4j-api,2.8.8,MPL-2.0,Compatible,Low,MPL-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,go-jwt,5.10.5,UNKNOWN,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
CustomerPortal,spring-security-core,1.2.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,snakeyaml,3.1.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,opentelemetry-api,4.10.2,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,logback-core,3.4.2,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,pyyaml,5.7.10,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,jackson-databind,1.1.6,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,caffeine,2.5.7,BSD-2-Clause,Compatible,Low,BSD-2-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,log4j-core,2.2.8,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,grpc-core,2.1.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,jedis,3.9.3,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,jetty-server,2.3.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,commons-lang3,4.11.2,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,mockito-core,1.2.10,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,junit-jupiter,4.1.8,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,hibernate-validator,1.13.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,guava,1.2.6,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,h2-database,5.3.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,mapstruct,4.15.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
CustomerPortal,kafka-clients,4.8.5,GPL-3.0,Incompatible,CRITICAL,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
